Empresa;Código;Setor;Peso no Ibovespa
AMBEV S/A;ABEV3;Consumo não-cíclico;4,60%
AZUL;AZUL4;Bens Industriais;0,92%
B2W DIGITAL;BTOW3;Comércio;0,35%
B3;B3SA3;Financeiro;4,83%
BB SEGURIDADE;BBSE3;Seguros;1,29%
BR MALLS PAR;BRML3;Exploração de imóveis;0,71%
BRADESCO;BBDC4;Financeiro;8,52%
BRADESCO;BBDC3;Financeiro;1,80%
BRADESPAR;BRAP4;Mineração;0,43%
BANCO DO BRASIL;BBAS3;Financeiro;4,05%
BRASKEM;BRKM5;Químicos;0,56%
BRF S/A;BRFS3;Alimentos processados;1,59%
CCR S/A;CCRO3;Bens Industriais;0,96%
CEMIG;CMIG4;Energia Elétrica;0,82%
CIELO;CIEL3;Financeiro;0,44%
COSAN;CSAN3;Petróleo, Gás e Biocombustíveis;0,45%
CVC BRASIL;CVCB3;Viagens e lazer;0,42%
CYRELA REALT;CYRE3;Construção civil;0,34%
ECORODOVIAS;ECOR3;Bens Industriais;0,13%
ELETROBRAS;ELET3;Energia Elétrica;0,62%
ELETROBRAS;ELET6;Energia Elétrica;0,53%
EMBRAER;EMBR3;Bens Industriais;0,83%
ENERGIAS BR;ENBR3;Energia Elétrica;0,33%
ENGIE BRASIL;EGIE3;Energia Elétrica;0,70%
EQUATORIAL;EQTL3;Energia Elétrica;1,09%
ESTACIO PART;YDUQ3;Educacionais;0,58%
FLEURY;FLRY3;Saúde;0,42%
GERDAU;GGBR4;Siderurgia e Metalurgia;0,83%
GERDAU MET;GOAU4;Siderurgia e Metalurgia;0,23%
GOL;GOLL4;Bens Industriais;0,30%
HYPERA;HYPE3;Saúde;0,67%
IGUATEMI;IGTA3;Exploração de imóveis;0,24%
IRB BRASIL RE;IRBR3;Seguros;0,70%
ITAUSA;ITSA4;Financeiro;3,43%
ITAU UNIBANCO;ITUB4;Financeiro;10,05%
JBS;JBSS3;Alimentos processados;2,24%
KLABIN S/A;KLBN11;Madeira e papel;0,57%
KROTON;COGN3;Educacionais;1,08%
LOCALIZA;RENT3;Locação de veículos;1,41%
LOJAS AMERICANAS;LAME4;Comércio;0,69%
LOJAS RENNER;LREN3;Comércio;2,15%
MAGAZINE LUIZA;MGLU3;Comércio;0,94%
MARFRIG;MRFG3;Alimentos processados;0,15%
MRV;MRVE3;Construção civil;0,33%
MULTIPLAN;MULT3;Exploração de imóveis;0,44%
NATURA;NTCO3;Consumo não-cíclico;0,57%
PÃO DE AÇÚCAR - CBD;PCAR4;Consumo não-cíclico;0,83%
PETROBRAS;PETR4;Petróleo, Gás e Biocombustíveis;6,95%
PETROBRAS;PETR3;Petróleo, Gás e Biocombustíveis;4,76%
PETROBRAS BR;BRDT3;Petróleo, Gás e Biocombustíveis;0,51%
QUALICORP;QUAL3;Saúde;0,32%
RAIADROGASIL;RADL3;Saúde;0,96%
RUMO S/A;RAIL3;Bens Industriais;1,46%
SABESP;SBSP3;Saneamento;0,95%
SANTANDER BR;SANB11;Financeiro;1,02%
SID NACIONAL;CSNA3;Siderurgia e Metalurgia;0,65%
SMILES;SMLS3;Diversos;0,13%
SUZANO S/A;SUZB3;Madeira e papel;1,46%
TAESA;TAEE11;Energia Elétrica;0,36%
TELEF BRASIL;VIVT4;Telecomunicações;1,31%
TIM PART S/A;TIMP3;Telecomunicações;0,58%
ULTRAPAR;UGPA3;Petróleo, Gás e Biocombustíveis;1,28%
USIMINAS;USIM5;Siderurgia e Metalurgia;0,28%
VALE;VALE3;Mineração;9,71%
VIA VAREJO;VVAR3;Comércio;0,21%
WEG;WEGE3;Bens Industriais;0,99%
