Empresa;Código;Código Yahoo;Setor
COSAN;CSAN3;CSAN3.SA;Exploração, Refino e Distribuição
DOMMO;DMMO3;DMMO3.SA;Exploração, Refino e Distribuição
ENAUTA PART;ENAT3;ENAT3.SA;Exploração, Refino e Distribuição
PET MANGUINH;RPMG3;RPMG3.SA;Exploração, Refino e Distribuição
PETROBRAS;PETR3;PETR3.SA;Exploração, Refino e Distribuição
PETROBRAS BR;BRDT3;BRDT3.SA;Exploração, Refino e Distribuição
PETRORIO;PRIO3;PRIO3.SA;Exploração, Refino e Distribuição
ULTRAPAR;UGPA3;UGPA3.SA;Exploração, Refino e Distribuição
LUPATECH;LUPA3;LUPA3.SA;Equipamentos e Serviços
OSX BRASIL;OSXB3;OSXB3.SA;Equipamentos e Serviços
BRADESPAR;BRAP3;BRAP3.SA;Minerais Metálicos
MMX MINER;MMXM3;MMXM3.SA;Minerais Metálicos
VALE;VALE3;VALE3.SA;Minerais Metálicos
FERBASA;FESA4;FESA4.SA;Siderurgia
GERDAU;GGBR3;GGBR3.SA;Siderurgia
GERDAU MET;GOAU3;GOAU3.SA;Siderurgia
SID NACIONAL;CSNA3;CSNA3.SA;Siderurgia
USIMINAS;USIM3;USIM3.SA;Siderurgia
MANGELS INDL;MGEL4;MGEL4.SA;Artefatos de Ferro e Aço
PANATLANTICA;PATI3;PATI3.SA;Artefatos de Ferro e Aço
PARANAPANEMA;PMAM3;PMAM3.SA;Artefatos de Cobre
BRASKEM;BRKM3;BRKM3.SA;Petroquímicos
ELEKEIROZ;ELEK4;ELEK4.SA;Petroquímicos
GPC PART;GPCP3;GPCP3.SA;Petroquímicos
FER HERINGER;FHER3;FHER3.SA;Fertilizantes e Defensivos
NUTRIPLANT;NUTR3;NUTR3.SA;Fertilizantes e Defensivos
CRISTAL;CRPG3;CRPG3.SA;Químicos Diversos
UNIPAR;UNIP3;UNIP3.SA;Químicos Diversos
DURATEX;DTEX3;DTEX3.SA;Madeira
EUCATEX;EUCA3;EUCA3.SA;Madeira
IRANI;RANI3;RANI3.SA;Papel e Celulose
KLABIN S/A;KLBN3;KLBN3.SA;Papel e Celulose
MELHOR SP;MSPA3;MSPA3.SA;Papel e Celulose
SUZANO S.A.;SUZB3;SUZB3.SA;Papel e Celulose
METAL IGUACU;MTIG4;MTIG4.SA;Embalagens
SANSUY;SNSY3;SNSY3.SA;Materiais Diversos
ETERNIT;ETER3;ETER3.SA;Produtos para Construção
HAGA S/A;HAGA3;HAGA3.SA;Produtos para Construção
PORTOBELLO;PTBL3;PTBL3.SA;Produtos para Construção
AZEVEDO;AZEV3;AZEV3.SA;Construção Pesada
SONDOTECNICA;SOND6;SOND6.SA;Engenharia Consultiva
TECNOSOLO;TCNO3;TCNO3.SA;Engenharia Consultiva
MILLS;MILS3;MILS3.SA;Serviços Diversos
EMBRAER;EMBR3;EMBR3.SA;Material Aeronáutico e de Defesa
FRAS-LE;FRAS3;FRAS3.SA;Material Rodoviário
MARCOPOLO;POMO3;POMO3.SA;Material Rodoviário
RANDON PART;RAPT3;RAPT3.SA;Material Rodoviário
RECRUSUL;RCSL3;RCSL3.SA;Material Rodoviário
RIOSULENSE;RSUL4;RSUL4.SA;Material Rodoviário
TUPY;TUPY3;TUPY3.SA;Material Rodoviário
WETZEL S/A;MWET3;MWET3.SA;Material Rodoviário
SCHULZ;SHUL4;SHUL4.SA;Motores, Compressores e Outros
WEG;WEGE3;WEGE3.SA;Motores, Compressores e Outros
ACO ALTONA;EALT3;EALT3.SA;Máq. e Equip. Industriais
BARDELLA;BDLL4;BDLL4.SA;Máq. e Equip. Industriais
INDS ROMI;ROMI3;ROMI3.SA;Máq. e Equip. Industriais
INEPAR;INEP3;INEP3.SA;Máq. e Equip. Industriais
KEPLER WEBER;KEPL3;KEPL3.SA;Máq. e Equip. Industriais
METALFRIO;FRIO3;FRIO3.SA;Máq. e Equip. Industriais
NORDON MET;NORD3;NORD3.SA;Máq. e Equip. Industriais
METISA;MTSA4;MTSA4.SA;Máq. e Equip. Construção e Agrícolas
TAURUS ARMAS;TASA3;TASA3.SA;Armas e Munições
AZUL;AZUL4;AZUL4.SA;Transporte Aéreo
GOL;GOLL4;GOLL4.SA;Transporte Aéreo
